bin_lower,bin_upper,count,mean_predicted,empirical_frequency
0.0,0.1,42,0.06890806870794289,0.19047619047619047
0.1,0.2,49,0.14163328613920975,0.1836734693877551
0.2,0.30000000000000004,56,0.2468310236336197,0.2857142857142857
0.30000000000000004,0.4,58,0.3490058885901232,0.3275862068965517
0.4,0.5,38,0.4468726246066558,0.42105263157894735
0.5,0.6000000000000001,36,0.5498947079602303,0.4444444444444444
0.6000000000000001,0.7000000000000001,17,0.63568731759338,0.7647058823529411
0.7000000000000001,0.8,4,0.7503162457694725,0.75
